Proveedor,Marca,Group,Sub Grupo,Codigo Secundario,Codigo,Descripcion,Costo,Iva,PVP,% Rent,Unid.,Cant.,Und. X Cja,Cant. Emb.,Uni. Emb.,Total
N/D,BM,GENERAL,GENERAL,96536520,RP-EV18,ELECTROVENTILADOR CHEVROLET AVEO FAMILY 2004 A/C PEQUEÑO ( BM ),16.055,15,35,118%,UNI,0,0,0,N/D,0
N/D,DM - JAPÓN,GENERAL,GENERAL,96536522,96536522,ELECTROVENTILADOR CHEVROLET AVEO MEDIANO,35.7143,15,41.07,15%,UNI,5,0,0,N/D,178.57
N/D,GENERAL,GENERAL,GENERAL,24-445-173,02-001-08-0179,ELECTROVENTILADOR CHEVROLET CORSA EVOLUTION 03- 2PIN RAD ( RECORD ),32.9,15,55,67.17%,UNI,2,0,0,N/D,65.8
AUTOEXPRESS,BM,GENERAL,GENERAL,RP-EV11,RP-EV11,ELECTROVENTILADOR CHEVROLET CORSA EVOLUTION 03-07 RAD 2 PIN TIPO ORIG ( BM ),29.83333,15,55,60.29%,UNI,1,0,0,N/D,29.83
N/D,YOSAI,GENERAL,GENERAL,1314443,221CV03F009,ELECTROVENTILADOR CHEVROLET CORSA EVOLUTION 03-07 RAD 2 PIN TIPO ORIG ( YOSAI ),33.12,15,55,66.06%,UNI,0,0,0,N/D,0
N/D,BM,GENERAL,GENERAL,92099808,RP-EV31,ELECTROVENTILADOR CHEVROLET CORSA WIND ( BM ),19.5,15,40,105.13%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,02-001-08-0010,02-001-08-0010,ELECTROVENTILADOR CHEVROLET GRAND VITARA 99 12,31.25,15,56.47,80.71%,UNI,2,0,0,N/D,62.5
N/D,GENERAL,GENERAL,GENERAL,17120-65J10,17120-65J10,ELECTROVENTILADOR CHEVROLET GRAND VITARA SZ 08 19 RAD,98.2143,15,159.15,62.05%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,02-001-08-1576,02-001-08-1576,ELECTROVENTILADOR CHEVROLET GRAND VITARA SZ 2.0 2.4 08 - RAD ( LS ),57.31,15,95,65.77%,UNI,1,0,0,N/D,57.31
N/D,GENERAL,GENERAL,GENERAL,02-001-08-2231,02-001-08-2231,ELECTROVENTILADOR CHEVROLET LUV D-MAX 3.5 6VE1 05 - A/C,58.66,15,80,36.38%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,02-001-08-2150,02-001-08-2150,ELECTROVENTILADOR CHEVROLET ONIX 1.0 21 - RAD,92.1739,15,130,41.04%,UNI,1,0,0,N/D,92.17
N/D,YOSAI,GENERAL,GENERAL,52083725,221CV53A109,ELECTROVENTILADOR CHEVROLET ONIX T/M 21- / JOY 21- PEQUEÑO ( YOSAI ),35.22,15,65,84.55%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,RP-EV5,RP-EV5,ELECTROVENTILADOR CHEVROLET SAIL 1.4 (10-17),27.235,15,45,65.23%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,02-001-08-0219,02-001-08-0219,ELECTROVENTILADOR CHEVROLET SAIL 12 -,40,15,56.47,41.18%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,95978940,02-001-08-0084,ELECTROVENTILADOR CHEVROLET SPARK GT 11- ( RECORD ),35.08,15,55,56.78%,UNI,3,0,0,N/D,105.24
N/D,GENERAL,GENERAL,GENERAL,02-014-04-015,02-014-04-015,ELECTROVENTILADOR CHEVROLET SPARK GT 2012-2017 1200,28.48,15,55,93.12%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,S11 1308010B,S11 1308010,ELECTROVENTILADOR DEL S11,50.25,15,65,12.48%,UNI,1,0,0,N/D,50.25
AUTOEXPRESS,BM,GENERAL,GENERAL,1308100-SF01,RP-EV34,ELECTROVENTILADOR DFSK GLORY 500 1.5 22- 7ALETAS ( BM ),40.3,15,70,51.04%,UNI,1,0,0,N/D,40.3
N/D,GENERAL,GENERAL,GENERAL,ASUR35012HH,ASUR35012HH,ELECTROVENTILADOR GREAT WALL M4 15 -,43.6,15,60,37.61%,UNI,0,0,0,N/D,0
N/D,BM,GENERAL,GENERAL,1308100Y31,RP-EV44,ELECTROVENTILADOR GREAT WALL M4/M2 10-12 ( BM ),36.4,15,65,78.57%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,02-001-16-0064,02-001-16-0064,ELECTROVENTILADOR GREAT WALL VOLEEX C30 12 RECORD,0,15,55,5400%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,ASUR350124,ASUR350124,ELECTROVENTILADOR GREAT WALL WINGLE 5 2.2 14,0,15,65,6400%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,02-001-19-0766,02-001-19-0766,ELECTROVENTILADOR HYUNDAI ACCENT 06 11 A/C,21.9643,15,50,127.64%,UNI,1,0,0,N/D,21.96
N/D,GENERAL,GENERAL,GENERAL,02-001-19-0076,02-001-19-0076,ELECTROVENTILADOR HYUNDAI ACCENT 06 11 RAD,21.4196,15,50,133.43%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,02-001-19-0104,02-001-19-0104,ELECTROVENTILADOR HYUNDAI ACCENT 12 - RIO R 12 - RAD,73.2143,15,85,16.1%,UNI,1,0,0,N/D,73.21
N/D,GENERAL,GENERAL,GENERAL,02-001-19-0767,02-001-19-0767,ELECTROVENTILADOR HYUNDAI ACCENT 12 14 RIO R 12 - RAD C/RESERV,40,15,56.47,41.18%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,25380-1R000,RP-EV7,"ELECTROVENTILADOR HYUNDAI ACCENT 12/-, KIA RIO R (11-16) C/RESIST",29.624,15,50,68.78%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,02-001-19-0636,02-001-19-0636,ELECTROVENTILADOR HYUNDAI ELANTRA 12 14 RAD S/RESERV,64.5893,15,75,16.12%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,02-001-19-0065,02-001-19-0065,ELECTROVENTILADOR HYUNDAI H1/TQ 08-18 / H1 19- A/C,31.25,15,55,76%,UNI,0,0,0,N/D,0
N/D,BM,GENERAL,GENERAL,25380-0X550,RP-EV28,ELECTROVENTILADOR HYUNDAI I10 09-14 ( BM ),22.035,15,55,149.6%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,4134204113,4134204113,ELECTROVENTILADOR HYUNDAI I10 09-14 RAD ( ISAKA ),34.51,15,55,59.37%,UNI,1,0,0,N/D,34.51
N/D,BM,GENERAL,GENERAL,25380-1F251,RP-EV8,"ELECTROVENTILADOR HYUNDAI TUCSON, KIA SPORTAGE (05-10) PATA CORTA C/RESIST ( BM )",27.95,15,65,132.56%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,8105200P3010,02-001-50-0110,"ELECTROVENTILADOR JAC T6 ,T8 2.0 18 - A/C ( ALLPARTS )",40.88696,15,65,58.97%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,02-001-22-0510,02-001-22-0510,ELECTROVENTILADOR KIA PICANTO 08 11,44.6429,15,65,45.6%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,02-001-22-0049,02-001-22-0049,ELECTROVENTILADOR KIA PICANTO LX 1.0/1.2 18 RECORD,42.6087,15,70,64.29%,UNI,0,0,0,N/D,0
N/D,BM,GENERAL,GENERAL,25380-H9050,RP-EV10,ELECTROVENTILADOR KIA RIO LX 18-20 C/RESIST ( BM ),0,15,60,5900%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,02-001-22-0232,02-001-22-0232,ELECTROVENTILADOR KIA RIO R 12 -14 ACCENT 12 -14 RAD VELOSTER 11-,34.375,15,56.47,64.29%,UNI,0,0,0,N/D,0
AUTOEXPRESS,BM,GENERAL,GENERAL,25380-FD100,RP-EV14,ELECTROVENTILADOR KIA RIO STYLUS 1.5 01-03 ( BM ),17.225,15,40,101.91%,UNI,1,0,0,N/D,17.23
N/D,GENERAL,GENERAL,GENERAL,ASUR35005SN,ASUR35005SN,ELECTROVENTILADOR LOGAN 13- / SANDERO 08-13 / MEGANE,45,15,60,33.33%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,02-001-25-0054,02-001-25-0054,ELECTROVENTILADOR MAZDA ALLEGRO 03 RAD,28.97,15,45,55.33%,UNI,0,0,0,N/D,0
N/D,BM,GENERAL,GENERAL,21487-75Y00,RP-EV27,ELECTROVENTILADOR NISSAN SENTRA B13 ( BM ),20.1825,15,40,98.19%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,02-001-28-0001,02-001-28-0001,ELECTROVENTILADOR NISSAN SENTRA B13 90-12 RAD  ( RECORD ),24.3,15,40,43.14%,UNI,0,0,0,N/D,0
N/D,TYG / TAIWAN,GENERAL,GENERAL,NSK-0205D,02-001-28-0079,ELECTROVENTILADOR NISSAN SENTRA B14 96-99 RAD ( TYG ),35.14,15,48,18.78%,UNI,1,0,0,N/D,35.14
N/D,GENERAL,GENERAL,GENERAL,02-001-28-0107,02-001-28-0107,ELECTROVENTILADOR NISSAN SENTRA B15 01-07 COMP C/AC / ALMERA ( TYG ),65.53,15,95,44.97%,UNI,2,0,0,N/D,131.06
N/D,GENERAL,GENERAL,GENERAL,ASUR35030Q,ASUR35030Q,ELECTROVENTILADOR NISSAN TIIDA 12 ( SOKITA ),15.3036,15,50,226.72%,UNI,0,0,0,N/D,0
N/D,BM,GENERAL,GENERAL,21481-8H303,RP-EV35,ELECTROVENTILADOR NISSAN X-TRAIL T30 ( BM ),33.1,15,95,187.01%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,21481-1DB0A,21481-1DB0A,ELECTROVENTILADOR NISSAN XTRAIL 03 07 HAIPA,67,15,120,79.1%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,21481-4BA0A // NI-F007,02-001-28-1051,ELECTROVENTILADOR NISSAN XTRAIL 15- 18,67.26,15,90,16.36%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,ASUR35014FE,ASUR35014FE,ELECTROVENTILADOR RAD CHERY ARRIZO 3 2020- 1500 ( SOKITA ),31.4464,15,60,90.8%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,02-014-03-003,02-014-03-003,ELECTROVENTILADOR RAD CHERY Q22L 2016- 4/ALETAS,55,15,65,2.77%,UNI,0,0,0,N/D,0
SERVICIO DE AUTOPARTES AUTODESER S.A.,GENERAL,GENERAL,GENERAL,221CH02F209,221CH02F209,ELECTROVENTILADOR RAD CHERY TIGGO 2 1.5 18- / ARRIZO 5 22- ( YOSAI ),34.074,15,65,65.88%,UNI,1,0,0,N/D,34.07
N/D,GENERAL,GENERAL,GENERAL,02-014-03-007,02-014-03-007,ELECTROVENTILADOR RAD CHERY TIGGO 2 2018- 1500T,0,15,110,10900%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,ASUR35030EH,ASUR35030EH,ELECTROVENTILADOR RAD CHERY TIGGO 3 2017- 1600,44,15,65,47.73%,UNI,1,0,0,N/D,44
N/D,BEST PARTS,GENERAL,GENERAL,CHR-01-016-0001,CHR-01-016-0001,ELECTROVENTILADOR RAD CHERY VAN 10- 13 ( BEST PARTS ),55.34,15,75,17.85%,UNI,0,0,0,N/D,0
N/D,DM - JAPÓN,GENERAL,GENERAL,96536666,EL-RA-02-004,ELECTROVENTILADOR RAD CHEVROLET AVEO 05 - CHEVY TAXI / FAMILY / EMOTION / TODOS,16.49,15,35,84.57%,UNI,3,0,0,N/D,49.47
N/D,DM - JAPÓN,GENERAL,GENERAL,96536522,EL-RA-02-002,ELECTROVENTILADOR RAD CHEVROLET AVEO 1.5 05-  / CHEVY TAXI 1/2,15.76,15,35,93.11%,UNI,5,0,0,N/D,78.8
N/D,GENERAL,GENERAL,GENERAL,02-014-04-011,02-014-04-011,ELECTROVENTILADOR RAD CHEVROLET CORSA EVOLUTION 03- 2PIN TIPO ORIG ( MAXFIT ),31.61,15,50,58.18%,UNI,0,0,0,N/D,0
N/D,DM - JAPÓN,GENERAL,GENERAL,24445185,EL-RA-02-005,ELECTROVENTILADOR RAD CHEVROLET CORSA EVOLUTION 03-07,26.99,15,55,77.2%,UNI,0,0,0,N/D,0
N/D,DM - JAPÓN,GENERAL,GENERAL,1341307,EL-RA-02-006,ELECTROVENTILADOR RAD CHEVROLET CORSA WIND 96-02 COMPLETO,17.65,15,40,97.07%,UNI,0,0,0,N/D,0
N/D,DM - JAPÓN,GENERAL,GENERAL,17120-71C10,EL-RA-02-011,ELECTROVENTILADOR RAD CHEVROLET ESTEEM 99-04,20.28,15,55,135.83%,UNI,0,0,0,N/D,0
N/D,DM - JAPÓN,GENERAL,GENERAL,17760-65J00,EL-RA-02-010,ELECTROVENTILADOR RAD CHEVROLET GRAND VITARA SZ  08 - 19,43.04,15,95,91.93%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,02-014-04-001,02-014-04-001,ELECTROVENTILADOR RAD CHEVROLET N200 2011- 4/ALETAS,23.83,15,45,88.84%,UNI,0,0,0,N/D,0
N/D,DM - JAPÓN,GENERAL,GENERAL,96553242,EL-RA-02-001,ELECTROVENTILADOR RAD CHEVROLET OPTRA 04-08 / OPTRA ADVANCE 09-,15.76,15,45,148.29%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,4111764003,4111764003,ELECTROVENTILADOR RAD CHEVROLET OPTRA 05 - ( ISAKA ),20.943,15,45,114.87%,UNI,0,0,0,N/D,0
SERVICIO DE AUTOPARTES AUTODESER S.A.,YOSAI,GENERAL,GENERAL,96553364,221CV17A209,ELECTROVENTILADOR RAD CHEVROLET OPTRA 05- 08 ( YOSAI ),16.01,15,45,181.07%,UNI,1,0,0,N/D,16.01
N/D,GENERAL,GENERAL,GENERAL,02-014-04-006,02-014-04-006,ELECTROVENTILADOR RAD CHEVROLET OPTRA 2005- 1800 2000 CTP 5/ALETAS MAXCO,20.87,15,40,91.66%,UNI,1,0,0,N/D,20.87
N/D,DM - JAPÓN,GENERAL,GENERAL,26203418,EL-RA-02-008,ELECTROVENTILADOR RAD CHEVROLET SAIL 1.5 18-,25.53,15,50,70.3%,UNI,0,0,0,N/D,0
N/D,ALLPARTS,GENERAL,GENERAL,02-001-08-1492,02-001-08-1492,ELECTROVENTILADOR RAD CHEVROLET SAIL 1.5 18- ( ALLPARTS ),39,15,55,22.63%,UNI,0,0,0,N/D,0
N/D,ALLPARTS,GENERAL,GENERAL,02-001-08-1899,02-001-08-1899,ELECTROVENTILADOR RAD CHEVROLET SAIL 1.5 18- ( ALLPARTS ),38.6518,15,55,42.3%,UNI,0,0,0,N/D,0
AUTOEXPRESS,BM,GENERAL,GENERAL,26203418,RP-EV6,ELECTROVENTILADOR RAD CHEVROLET SAIL 1.5 18- ( BM ),29.185,15,50,71.32%,UNI,0,0,0,N/D,0
N/D,KRC / KOREA,GENERAL,GENERAL,02-001-08-0314,02-001-08-0314,ELECTROVENTILADOR RAD CHEVROLET SAIL 1.5 18- ( KRC ),36.03,15,55,52.65%,UNI,0,0,0,N/D,0
N/D,DM - JAPÓN,GENERAL,GENERAL,9023973,EL-RA-02-007,ELECTROVENTILADOR RAD CHEVROLET SAIL 12 -17,24.07,15,55,98.7%,UNI,0,0,0,N/D,0
N/D,YOSAI,GENERAL,GENERAL,9023973,221CV07A109,ELECTROVENTILADOR RAD CHEVROLET SAIL 12-17 ( YOSAI ),25.06,15,55,119.47%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,02-014-04-003,02-014-04-003,ELECTROVENTILADOR RAD CHEVROLET SAIL 2012-2017 1400,23.13,15,50,116.17%,UNI,0,0,0,N/D,0
N/D,DM - JAPÓN,GENERAL,GENERAL,96395500,EL-RA-02-003,ELECTROVENTILADOR RAD CHEVROLET SPARK 06-14 / SPARK LIFE 17 -,16.49,15,35,84.57%,UNI,1,0,0,N/D,16.49
N/D,YOSAI,GENERAL,GENERAL,96395500,221CV09A209,ELECTROVENTILADOR RAD CHEVROLET SPARK 06-14 / SPARK LIFE 17- ( YOSAI ),16.445,15,35,112.83%,UNI,0,0,0,N/D,0
N/D,DM - JAPÓN,GENERAL,GENERAL,95978940,EL-RA-02-009,ELECTROVENTILADOR RAD CHEVROLET SPARK GT  11- / BEAT 19-,24.07,15,55,98.7%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,ET-134124,ET-134124,ELECTROVENTILADOR RAD CHEVROLET VIVANT 00-,20,15,40,100%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,4132014103,4132014103,ELECTROVENTILADOR RAD DAEWOO CIELO 96-01 / RACER ( IASKA ),19.4191,15,35,80.24%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,02-014-23-001,02-014-23-001,ELECTROVENTILADOR RAD DONGFENG DFSK C37 2015- 1400,42.96,15,60,39.66%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,ASUR35012AJ,ASUR35012AJ,ELECTROVENTILADOR RAD GREAT WALL 5 CHERY A5/E5,26.7679,15,60,124.15%,UNI,1,0,0,N/D,26.77
N/D,GENERAL,GENERAL,GENERAL,ASUR35014KK,ASUR35014KK,ELECTROVENTILADOR RAD GREAT WALL WINGLE 3-5 2010-2015,34,15,65,91.18%,UNI,1,0,0,N/D,34
SERVICIO DE AUTOPARTES AUTODESER S.A.,GENERAL,GENERAL,GENERAL,1308100P00,221GW01A109,ELECTROVENTILADOR RAD GREAT WALL WINGLE 3/5 10- 15 ( YOSAI ),22.565,15,65,150.48%,UNI,1,0,0,N/D,22.57
SERVICIO DE AUTOPARTES AUTODESER S.A.,GENERAL,GENERAL,GENERAL,221GW01D109,221GW01D109,ELECTROVENTILADOR RAD GREAT WALL WINGLE 7 19- 2.0/2.4 DIESEL-GASOLINA ( YOSAI ),34.5,15,70,76.43%,UNI,0,0,0,N/D,0
N/D,YOSAI,GENERAL,GENERAL,221HN01I109,221HN01I109,ELECTROVENTILADOR RAD HYUNDAI ACCENT / KIA SOLUTO / RIO R / MEXICANO 1.4 / 1.6 17- ( YOSAI ),27.205,15,60,120.55%,UNI,1,0,0,N/D,27.21
N/D,GENERAL,GENERAL,GENERAL,4134014133,4134014133,ELECTROVENTILADOR RAD HYUNDAI ACCENT 06- 11 ( ISAKA ),16.6761,15,40,139.86%,UNI,0,0,0,N/D,0
N/D,DM - KOREA,GENERAL,GENERAL,25380-1E000,EL-RA-01-012,ELECTROVENTILADOR RAD HYUNDAI ACCENT 06-11 / KIA RIO XCITE 06-12,15.9,15,40,118.76%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,02-014-08-003,02-014-08-003,ELECTROVENTILADOR RAD HYUNDAI ACCENT 06-11 1.4 1-6  7/ALET ( MAXFIT ),16.9,15,35,107.1%,UNI,0,0,0,N/D,0
N/D,DM - KOREA,GENERAL,GENERAL,25380-H8050,EL-RA-01-004,ELECTROVENTILADOR RAD HYUNDAI ACCENT 1.6 20-,25.33,15,70,140.31%,UNI,0,0,0,N/D,0
N/D,DM - KOREA,GENERAL,GENERAL,25380-0U050,EL-RA-01-007,ELECTROVENTILADOR RAD HYUNDAI ACCENT 12-19 / KIA RIO R 12-17,25.97,15,50,67.42%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,25386-22000,25386-22000,ELECTROVENTILADOR RAD HYUNDAI ACCENT 95- 99,23.24,15,40,49.67%,UNI,1,0,0,N/D,23.24
N/D,DM - KOREA,GENERAL,GENERAL,25380-22000,EL-RA-01-011,ELECTROVENTILADOR RAD HYUNDAI ACCENT 95-00,15.32,15,40,127.04%,UNI,0,0,0,N/D,0
N/D,DM - KOREA,GENERAL,GENERAL,25380-25000,EL-RA-01-010,ELECTROVENTILADOR RAD HYUNDAI ACCENT VERNA 01-05,16.19,15,40,114.84%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,25380-25100,25380-25100,ELECTROVENTILADOR RAD HYUNDAI ACCENT VERNA 03/-,25,15,35.94,43.75%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,02-014-08-005,02-014-08-005,ELECTROVENTILADOR RAD HYUNDAI ACCENT VERNA 2001-2005 CPT 7/ALETAS,25.98,15,40,53.96%,UNI,2,0,0,N/D,51.96
N/D,DM - KOREA,GENERAL,GENERAL,25380-05500,EL-RA-01-017,ELECTROVENTILADOR RAD HYUNDAI ATOS PRIME 06-,18.24,15,45,114.53%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,02-014-08-029,02-014-08-029,ELECTROVENTILADOR RAD HYUNDAI ATOS PRIME SANTRO 2006-,16.6,15,35,110.84%,UNI,1,0,0,N/D,16.6
N/D,YOSAI,GENERAL,GENERAL,221HN19C109,221HN19C109,ELECTROVENTILADOR RAD HYUNDAI CRETA 1.6 17- 19 ( YOSAI ),30.66,15,60,95.69%,UNI,1,0,0,N/D,30.66
N/D,DM - KOREA,GENERAL,GENERAL,25380-1C160,EL-RA-01-013,ELECTROVENTILADOR RAD HYUNDAI GETZ 02-11,29.18,15,55,63.9%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,02-014-08-010,02-014-08-010,ELECTROVENTILADOR RAD HYUNDAI GETZ 2006-2011 1600 C/RESISTENCIA,26,15,55,111.54%,UNI,2,0,0,N/D,52
N/D,DM - KOREA,GENERAL,GENERAL,25380-B4000,EL-RA-01-016,ELECTROVENTILADOR RAD HYUNDAI GRAND I10 15-22 4/5P,26.41,15,55,81.09%,UNI,0,0,0,N/D,0
N/D,DM - KOREA,GENERAL,GENERAL,25380-0X000,EL-RA-01-015,ELECTROVENTILADOR RAD HYUNDAI I10 09-14,18.68,15,50,132.75%,UNI,0,0,0,N/D,0
N/D,YOSAI,GENERAL,GENERAL,221HN04B109,221HN04B109,ELECTROVENTILADOR RAD HYUNDAI I10 1.1L 08- 13 ( YOSAI ),19.44,15,50,157.2%,UNI,1,0,0,N/D,19.44
N/D,DM - KOREA,GENERAL,GENERAL,25380-17030,EL-RA-01-014,ELECTROVENTILADOR RAD HYUNDAI MATRIX 02-14,19.7,15,45,98.63%,UNI,0,0,0,N/D,0
SERVICIO DE AUTOPARTES AUTODESER S.A.,GENERAL,GENERAL,GENERAL,221HN09A109,221HN09A109,ELECTROVENTILADOR RAD HYUNDAI TUCSON 05- 08 / KIA SPORTAGE ACTIVE 09- 10 PATA CORTA ( YOSAI ),32.19333,15,65,75.57%,UNI,3,0,0,N/D,96.58
N/D,GENERAL,GENERAL,GENERAL,02-014-08-007,02-014-08-007,ELECTROVENTILADOR RAD HYUNDAI TUCSON 05-08 / KIA SPORTAGE ACTIVE 09-10 PATA CORTA GAS 7/ALETA ( MAAXFIT ),36.03,15,75,108.16%,UNI,0,0,0,N/D,0
N/D,DM - KOREA,GENERAL,GENERAL,25380-1F250,EL-RA-01-006,ELECTROVENTILADOR RAD HYUNDAI TUCSON 05-08 / SPORTAGE 05-08 / SPORTAGE ACTIVO 09- PATA CORTA,29.18,15,65,93.7%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,02-014-08-009,02-014-08-009,ELECTROVENTILADOR RAD HYUNDAI TUCSON 2009-2010 PATA LARGA 2000 GAS 7/ALETAS,35.39,15,60,69.54%,UNI,0,0,0,N/D,0
N/D,YOSAI,GENERAL,GENERAL,221HN09B209,221HN09B209,ELECTROVENTILADOR RAD HYUNDAI TUCSON IX / KIA SPORTAGE R 2.0 L 10- 15 ( YOSAI ),31.69,15,55,73.56%,UNI,0,0,0,N/D,0
N/D,DM - KOREA,GENERAL,GENERAL,25380-2S500,EL-RA-01-003,ELECTROVENTILADOR RAD HYUNDAI TUCSON IX 11-13 / SPORTAGE R 11-13,27.14,15,65,108.26%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,4134604113,4134604113,ELECTROVENTILADOR RAD HYUNDAI TUCSON IX 14 15 / SPORTAGE R 14-15 ( ISAKA ),41.51,15,65,56.59%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,02-014-08-008,02-014-08-008,ELECTROVENTILADOR RAD HYUNDAI TUCSON IX KIA SPORTAGE R 2011-2015 7/ALETAS,34.61,15,55,58.91%,UNI,0,0,0,N/D,0
N/D,YOSAI,GENERAL,GENERAL,25380-F9250,221HN12A009,ELECTROVENTILADOR RAD HYUNDAI VERNA 19- ( YOSAI ),26.37,15,60,127.53%,UNI,1,0,0,N/D,26.37
N/D,GENERAL,GENERAL,GENERAL,02-014-11-003,02-014-11-003,ELECTROVENTILADOR RAD KIA CERATO FORTE 10- 1.6 C/RESERVORIO C/MANGUERA ( MAXFIT ),44.03,15,68,54.44%,UNI,1,0,0,N/D,44.03
N/D,DM - KOREA,GENERAL,GENERAL,25380-1M000,EL-RA-01-002,ELECTROVENTILADOR RAD KIA CERATO FORTE 10-15 / FORTE KOUP,26.55,15,65,112.89%,UNI,0,0,0,N/D,0
N/D,DM - KOREA,GENERAL,GENERAL,25380-07500,EL-RA-01-008,ELECTROVENTILADOR RAD KIA PICANTO 08-11 C/RESERVORIO,29.18,15,60,78.8%,UNI,0,0,0,N/D,0
SERVICIO DE AUTOPARTES AUTODESER S.A.,YOSAI,GENERAL,GENERAL,25380-4X050,221HN01D209,ELECTROVENTILADOR RAD KIA RIO R 12- 14 / ACCENT 12- 14 / VELOSTER 11- ( YOSAI ),24.265,15,50,46.59%,UNI,2,0,0,N/D,48.53
N/D,DM - KOREA,GENERAL,GENERAL,25380-H9000,EL-RA-01-009,ELECTROVENTILADOR RAD KIA RIO R LX-EX 17- / KIA K3 24-,25.97,15,60,100.9%,UNI,0,0,0,N/D,0
N/D,DM - KOREA,GENERAL,GENERAL,25380-FD000,EL-RA-01-001,ELECTROVENTILADOR RAD KIA RIO STYLUS 03-14,25.17,15,38,31.28%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,02-014-13-001,02-014-13-001,ELECTROVENTILADOR RAD NISSAN DATSUN SENTRA B13 1990-2012 4/ALETAS,0,15,45,4400%,UNI,0,0,0,N/D,0
N/D,DM - JAPÓN,GENERAL,GENERAL,21481-62J00,EL-RA-03-001,ELECTROVENTILADOR RAD NISSAN SENTRA B13 90-12,17.95,15,40,93.77%,UNI,0,0,0,N/D,0
N/D,GENERAL,GENERAL,GENERAL,4170624103,4170624103,ELECTROVENTILADOR RAD NISSAN SENTRA B13 90-12 ( ISAKA ),11.8096,15,45,281.05%,UNI,1,0,0,N/D,11.81
N/D,DM - JAPÓN,GENERAL,GENERAL,21481-6M100,EL-RA-03-004,ELECTROVENTILADOR RAD NISSAN SENTRA B15 01-07 / ALMERA COMP C/AC,35.75,15,95,131.07%,UNI,2,0,0,N/D,71.5
N/D,YOSAI,GENERAL,GENERAL,221NS08B209,221NS08B209,ELECTROVENTILADOR RAD NISSAN TIIDA 1.6L 05- 13 ( YOSAI ),20.75,15,50,140.96%,UNI,1,0,0,N/D,20.75
N/D,YOSAI,GENERAL,GENERAL,21481-3AB3A,221NS09A209,ELECTROVENTILADOR RAD NISSAN VERSA 1.6 11 - 19 ( YOSAI ),24.27,15,55,126.62%,UNI,0,0,0,N/D,0
